icao;iata;nome;state;country;continent;coordinates
SBCM;CCM;Diomício Freitas;SC;BRASIL;AMÉRICA DO SUL;-49.4213905334, -28.7244434357
SCIE;CCP;Carriel Sur;;CHILE;AMÉRICA DO SUL;-73.063103, -36.772701
SVMI;CCS;SimÃ³n BolÃ­var International;;VENEZUELA;AMÉRICA DO SUL;-66.991222, 10.601194
LFPG;CDG;Charles de Gaulle International;;FRANÇA;EUROPA;2.55, 49.012798
SBCB;CFB;Cabo Frio;RJ;BRASIL;AMÉRICA DO SUL;-42.074298858599995, -22.921699523900003
SJHG;CFO;Confresa;MT;BRASIL;AMÉRICA DO SUL;-51.5635986328125, -10.634400367736816
SBCY;CGB;Marechal Rondon;MT;BRASIL;AMÉRICA DO SUL;-56.1166992188, -15.6528997421
SBSP;CGH;Congonhas;SP;BRASIL;AMÉRICA DO SUL;-46.65638732910156, -23.626110076904297
EDDK;CGN;Cologne Bonn;;ALEMANHA;EUROPA;7.1427397728, 50.8658981323
SBCG;CGR;Campo Grande;MS;BRASIL;AMÉRICA DO SUL;-54.6725006104, -20.468700408900002
LFLX;CHR;"Châteauroux-Centre ""Marcel Dassault""";;FRANÇA;EUROPA;1.721111, 46.860278
SWKO;CIZ;Coari;AM;BRASIL;AMÉRICA DO SUL;-63.132598876953125, -4.134059906005859
SCCF;CJC;El Loa;;CHILE;AMÉRICA DO SUL;-68.90360260009766, -22.498199462890625
SSCP;CKO;Cornélio Procópio;PR;BRASIL;AMÉRICA DO SUL;-50.602500915527344, -23.15250015258789
SBCJ;CKS;Carajás;PA;BRASIL;AMÉRICA DO SUL;-50.0013885498, -6.11527776718
GUCY;CKY;Conakry International;;GUINÉ;ÁFRICA;-13.612, 9.57689
SKCL;CLO;Alfonso Bonilla Aragon International;;COLOMBIA;AMÉRICA DO SUL;-76.3816, 3.54322
SBCN;CLV;Nelson Ribeiro Guimarães;GO;BRASIL;AMÉRICA DO SUL;-48.607498168945, -17.725299835205
VCBI;CMB;Bandaranaike International Colombo;;SRI LANKA;ÁSIA;79.88410186767578, 7.180759906768799
SBCR;CMG;Corumbá International;MS;BRASIL;AMÉRICA DO SUL;-57.6713905334, -19.0119438171
GMMN;CMN;Mohammed V International;;MARROCOS;ÁFRICA;-7.589970111846924, 33.36750030517578
SBCF;CNF;Tancredo Neves International;MG;BRASIL;AMÉRICA DO SUL;-43.97194290161133, -19.62444305419922
SACO;COR;Ingeniero Ambrosio Taravella;;ARGENTINA;AMÉRICA DO SUL;-64.208, -31.323601
EKCH;CPH;Copenhagen Kastrup;;ILHAS FEROÉ;EUROPA;12.656000137329, 55.617900848389
SCAT;CPO;Desierto de Atacama;;CHILE;AMÉRICA DO SUL;-70.7791976929, -27.2611999512
SDAM;CPQ;Amarais;SP;BRASIL;AMÉRICA DO SUL;-47.10820007324219, -22.85919952392578
FACT;CPT;Cape Town International;;ÁFRICA DO SUL;ÁFRICA;18.6016998291, -33.9648017883
SBKG;CPV;Presidente João Suassuna;PB;BRASIL;AMÉRICA DO SUL;-35.8964, -7.26992
SWEK;CQA;Canarana;MT;BRASIL;AMÉRICA DO SUL;-52.27055740356445, -13.574443817138672
EBCI;CRL;Brussels South Charleroi;;BÉLGICA;EUROPA;4.45382, 50.459202
LICC;CTA;Catania-Fontanarossa;;ITÁLIA;EUROPA;15.0664, 37.466801
SKCG;CTG;Rafael NuÃ±ez International;;COLOMBIA;AMÉRICA DO SUL;-75.513, 10.4424
MMUN;CUN;Cancún International;;MÉXICO;AMÉRICA DO NORTE;-86.8770980835, 21.036500930800003
TNCC;CUR;Hato International;;CURAÇAO;AMÉRICA DO NORTE;-68.959801, 12.1889
SPZO;CUZ;Alejandro Velasco Astete International;;PERU;AMÉRICA DO SUL;-71.9387969971, -13.535699844400002
KCVG;CVG;Cincinnati Northern Kentucky International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-84.667801, 39.048801
SBCT;CWB;Afonso Pena;PR;BRASIL;AMÉRICA DO SUL;-49.1758003235, -25.5284996033
KCWF;CWF;Chennault International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-93.14320373540001, 30.2105998993
SBCX;CXJ;Hugo Cantergiani Regional;RS;BRASIL;AMÉRICA DO SUL;-51.1875, -29.197099685699996
SBCZ;CZS;Cruzeiro do Sul;AC;BRASIL;AMÉRICA DO SUL;-72.769501, -7.59991
VIDP;DEL;Indira Gandhi International;;ÍNDIA;ÁSIA;77.103104, 28.5665
KDFW;DFW;Dallas Fort Worth International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-97.038002, 32.896801
OTBD;DIA;Doha International;;QATAR;ÁSIA;51.565102, 25.261101
SNDV;DIQ;Brigadeiro Cabral;MG;BRASIL;AMÉRICA DO SUL;-44.870899200439, -20.180700302124
GOOY;DKR;LÃ©opold SÃ©dar Senghor International;;SENEGAL;ÁFRICA;-17.49020004272461, 14.739700317382812
FKKD;DLA;Douala International;;CAMAROES;ÁFRICA;9.719479560849999, 4.0060801506
OTHH;DOH;Hamad International;;QATAR;ÁSIA;51.608056, 25.273056
WADD;DPS;Ngurah Rai (Bali) International;;INDONÉSIA;ÁSIA;115.16699981689, -8.7481698989868
EGCN;DSA;Robin Hood Doncaster Sheffield;;REINO UNIDO;EUROPA;-1.01065635681, 53.4805378105
GOBD;DSS;Blaise Diagne International;;SENEGAL;ÁFRICA;-17.073333, 14.67
SNDT;DTI;Diamantina;MG;BRASIL;AMÉRICA DO SUL;-43.650398254399995, -18.232000351
KDTW;DTW;Detroit Metropolitan Wayne County;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-83.35340118408203, 42.212398529052734
EIDW;DUB;Dublin;;IRLANDA;EUROPA;-6.27007, 53.421299
EDDL;DUS;Düsseldorf;;ALEMANHA;EUROPA;6.76678, 51.289501
OMDW;DWC;Al Maktoum International;;EMIRADOS ÁRABES UNIDOS;ÁSIA;55.161389, 24.896356
OMDB;DXB;Dubai International;;EMIRADOS ÁRABES UNIDOS;ÁSIA;55.3643989563, 25.2527999878
KELP;ELP;El Paso International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-106.3779984, 31.80719948
EGNX;EMA;East Midlands;;REINO UNIDO;EUROPA;-1.32806003094, 52.8311004639
SADP;EPA;El Palomar;;ARGENTINA;AMÉRICA DO SUL;-58.6126, -34.6099
SWEI;ERN;Eirunepé;AM;BRASIL;AMÉRICA DO SUL;-69.87979888916016, -6.639530181884766
KEWK;EWK;Newton City-County;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-97.2744979858, 38.058200836199994
KEWR;EWR;Newark Liberty International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-74.168701171875, 40.692501068115234
SAEZ;EZE;Ministro Pistarini International;;ARGENTINA;AMÉRICA DO SUL;-58.5358, -34.8222
LPFR;FAO;Faro;;PORTUGAL;EUROPA;-7.96590995789, 37.0144004822
SSFB;FBE;Francisco Beltrão;PR;BRASIL;AMÉRICA DO SUL;-53.063499450683594, -26.059200286865234
LIRF;FCO;Leonardo da Vinci - Fiumicino;;ITÁLIA;EUROPA;12.2388889, 41.8002778
TFFF;FDF;Martinique AimÃ© CÃ©saire International;;MARTINICA;AMÉRICA DO NORTE;-61.00320053100586, 14.590999603271484
EDNY;FDH;Friedrichshafen;;ALEMANHA;EUROPA;9.51148986816, 47.671298980699994
SBFN;FEN;Fernando de Noronha;PE;BRASIL;AMÉRICA DO SUL;-32.423302, -3.85493
KFLL;FLL;Fort Lauderdale Hollywood International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-80.152702, 26.072599
SBFL;FLN;Hercílio Luz International;SC;BRASIL;AMÉRICA DO SUL;-48.5525016784668, -27.670278549194336
LFTW;FNI;NÃ®mes-Arles-Camargue;;FRANÇA;EUROPA;4.4163498878479, 43.75740051269531
SBFZ;FOR;Pinto Martins International;CE;BRASIL;AMÉRICA DO SUL;-38.53260040283203, -3.776279926300049
EDDF;FRA;Frankfurt am Main;;ALEMANHA;EUROPA;8.570556, 50.033333
SIMK;FRC;Tenente Lund Pressoto;SP;BRASIL;AMÉRICA DO SUL;-47.3829, -20.592199
SAWC;FTE;El Calafate;;CHILE;AMÉRICA DO SUL;-72.053101, -50.2803
MMGL;GDL;Don Miguel Hidalgo Y Costilla International;;MÉXICO;AMÉRICA DO NORTE;-103.31099700927734, 20.521799087524414
SBNM;GEL;Santo Ângelo;RS;BRASIL;AMÉRICA DO SUL;-54.169102, -28.2817
SYCJ;GEO;Cheddi Jagan International;;GUIANA;AMÉRICA DO SUL;-58.25410079956055, 6.498549938201904
SBGL;GIG;Galeão – Tom Jobim International;RJ;BRASIL;AMÉRICA DO SUL;-43.2505569458, -22.8099994659
SNGI;GNM;Guanambi;BA;BRASIL;AMÉRICA DO SUL;-42.74610137939453, -14.208200454711914
ESGG;GOT;Gothenburg-Landvetter;;SUÉCIA;EUROPA;12.279800415039, 57.662799835205
SBGU;GPB;Tancredo Thomas de Faria;PR;BRASIL;AMÉRICA DO SUL;-51.520199, -25.387501
SEGS;GPS;Seymour;;EQUADOR;AMÉRICA DO SUL;-90.26589965820312, -0.45375800132751465
SBGR;GRU;Guarulhos International;SP;BRASIL;AMÉRICA DO SUL;-46.47305679321289, -23.435556411743164
MGGT;GUA;La Aurora;;GUATEMALA;AMÉRICA CENTRAL;-90.527496, 14.5833
KGUS;GUS;Grissom Air Reserve Base;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-86.1520996094, 40.648101806599996
SNGA;GUZ;Guarapari;ES;BRASIL;AMÉRICA DO SUL;-40.491901397700005, -20.646499633800005
LSGG;GVA;Geneva Cointrin International;;SUÁÇA;EUROPA;6.108950138092041, 46.23809814453125
SBGV;GVR;Coronel Altino Machado de Oliveira;MG;BRASIL;AMÉRICA DO SUL;-41.982200622559, -18.89520072937
UBBB;GYD;Heydar Aliyev International;;AZERBAIJÁO;ÁSIA;50.04669952392578, 40.467498779296875
SEGU;GYE;JosÃ© JoaquÃ­n de Olmedo International;;EQUADOR;AMÉRICA DO SUL;-79.88359832760001, -2.1574199199699997
SBGO;GYN;Santa Genoveva;GO;BRASIL;AMÉRICA DO SUL;-49.220699310302734, -16.631999969482422
MUHA;HAV;JosÃ© MartÃ­ International;;CUBA;AMÉRICA CENTRAL;-82.40910339355469, 22.989200592041016
EFHK;HEL;Helsinki Vantaa;;FINLANDIA;EUROPA;24.963300704956, 60.317199707031
ZBHH;HET;Baita International;;CHINA;ÁSIA;111.823997, 40.851398
LGAT;HEW;Athen Helenikon;;GRÉCIA;EUROPA;23.726101, 37.893299
ZSHC;HGH;Hangzhou Xiaoshan International;;CHINA;ÁSIA;120.43399810791016, 30.22949981689453
EDFH;HHN;Frankfurt-Hahn;;ALEMANHA;EUROPA;7.26389, 49.9487
WIHH;HLP;Halim Perdanakusuma International;;INDONÉSIA;ÁSIA;106.89099884033203, -6.266610145568848
RJTT;HND;Tokyo Haneda International;;JAPÁO;ÁSIA;139.779999, 35.552299
FVHA;HRE;Robert Gabriel Mugabe International;;ZIMBÁBUE;ÁFRICA;31.0928, -17.931801
KHSV;HSV;Huntsville International Carl T Jones Field;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-86.775100708008, 34.637199401855
SWHT;HUW;Humaitá;AM;BRASIL;AMÉRICA DO SUL;-63.072101593, -7.532120227810001
KIAD;IAD;Washington Dulles International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-77.45580292, 38.94449997
KIAH;IAH;George Bush Intercontinental Houston;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-95.34140014648438, 29.984399795532227
RKSI;ICN;Incheon International;;COREIA DO SUL;ÁSIA;126.45099639892578, 37.46910095214844
SARI;IGR;Cataratas Del Iguazú International;;ARGENTINA;AMÉRICA DO SUL;-54.4734, -25.737301
SBFI;IGU;Cataratas International;PR;BRASIL;AMÉRICA DO SUL;-54.48500061035156, -25.600278854370117
SBIZ;IMP;Prefeito Renato Moreira;MA;BRASIL;AMÉRICA DO SUL;-47.459999, -5.53129
SBIL;IOS;Bahia - Jorge Amado;BA;BRASIL;AMÉRICA DO SUL;-39.033199310303, -14.815999984741
SBIP;IPN;Usiminas;MG;BRASIL;AMÉRICA DO SUL;-42.487598419189, -19.470699310303
SNIU;IPU;Ipiaú;BA;BRASIL;AMÉRICA DO SUL;-39.733890533447266, -14.133889198303223
SCDA;IQQ;Diego Aracena;;CHILE;AMÉRICA DO SUL;-70.1812973022461, -20.535200119018555
SPQT;IQT;Coronel FAP Francisco Secada Vignetta International;;PERU;AMÉRICA DO SUL;-73.30879974365234, -3.7847399711608887
SNIC;IRE;Irecê;BA;BRASIL;AMÉRICA DO SUL;-41.84700012207031, -11.339900016784668
LTBA;ISL;Atatürk International;;TURQUIA;EUROPA;28.8146, 40.976898
LTFM;IST;Istanbul;;TURQUIA;EUROPA;28.751944, 41.275278
SBIH;ITB;Itaituba;PA;BRASIL;AMÉRICA DO SUL;-56.000701904297, -4.2423400878906
SBZM;IZA;Presidente Itamar Franco;MG;BRASIL;AMÉRICA DO SUL;-43.173069, -21.513086
KJAX;JAX;Jacksonville International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-81.68789672851562, 30.49410057067871
SSSB;JBS;São Borja;RS;BRASIL;AMÉRICA DO SUL;-56.034599, -28.6549
SBJF;JDF;Francisco de Assis;MG;BRASIL;AMÉRICA DO SUL;-43.38679885864258, -21.791500091552734
SBJU;JDO;Orlando Bezerra de Menezes;CE;BRASIL;AMÉRICA DO SUL;-39.270099639899996, -7.21895980835
SNJR;JDR;Prefeito Octávio de Almeida Neves;MG;BRASIL;AMÉRICA DO SUL;-44.2247238159, -21.0849990845
OEJN;JED;King Abdulaziz International;;ARÁBIA SAUDITA;ÁSIA;39.156502, 21.6796
KJFK;JFK;John F Kennedy International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-73.7789, 40.639801
SWJN;JIA;Juína;MT;BRASIL;AMÉRICA DO SUL;-58.701668, -11.419444
SBJA;JJG;Humberto Ghizzo Bortoluzzi Regional;SC;BRASIL;AMÉRICA DO SUL;-49.0596, -28.6753
SNJN;JNA;Januária;MG;BRASIL;AMÉRICA DO SUL;-44.385501861572266, -15.473799705505371
FAOR;JNB;OR Tambo International;;ÁFRICA DO SUL;ÁFRICA;28.246, -26.1392
SBJV;JOI;Lauro Carneiro de Loyola;SC;BRASIL;AMÉRICA DO SUL;-48.797401428222656, -26.22450065612793
SBJP;JPA;Presidente Castro Pinto International;PB;BRASIL;AMÉRICA DO SUL;-34.9486122131, -7.145833015440001
SJTC;JTC;Bauru/Arealva–Moussa Nakhal Tobias State;SP;BRASIL;AMÉRICA DO SUL;-49.0502866745, -22.166859140899998
SIZX;JUA;Inácio Luís do Nascimento;MT;BRASIL;AMÉRICA DO SUL;-57.5495, -11.2966
SPJL;JUL;Inca Manco Capac International;;PERU;AMÉRICA DO SUL;-70.158203125, -15.467100143432617
OAKB;KBL;Hamid Karzai International;;AFEGANISTÁO;ÁSIA;69.212303, 34.565899
BIKF;KEF;Keflavik International;;ISLANDIA;EUROPA;-22.6056, 63.985001
UAKK;KGF;Sary-Arka;;CAZAQUISTÁO;ÁSIA;73.33439636230469, 49.670799255371094
MKJP;KIN;Norman Manley International;;JAMAICA;AMÉRICA CENTRAL;-76.7874984741211, 17.935699462890625
ESNQ;KRN;Kiruna;;SUÉCIA;EUROPA;20.336799621582, 67.821998596191
OKBK;KWI;Kuwait International;;KUWAIT;ÁSIA;47.96889877319336, 29.226600646972656
FNLU;LAD;Quatro de Fevereiro;;ANGOLA;ÁFRICA;13.2312, -8.85837
SBLJ;LAJ;Lages;SC;BRASIL;AMÉRICA DO SUL;-50.28150177, -27.782100677499997
KLAS;LAS;McCarran International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-115.1520004, 36.08010101
KLAX;LAX;Los Angeles International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-118.407997, 33.942501
SWLB;LBR;Lábrea;AM;BRASIL;AMÉRICA DO SUL;-64.76950073242188, -7.278969764709473
SWBG;LCB;Pontes e Lacerda;MT;BRASIL;AMÉRICA DO SUL;-59.3848, -15.1934
KLCK;LCK;Rickenbacker International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-82.927803, 39.813801
SBLO;LDB;Governador José Richa;PR;BRASIL;AMÉRICA DO SUL;-51.1301002502, -23.333599090599996
LFBT;LDE;Tarbes-Lourdes-Pirenéus;;FRANÇA;EUROPA;-0.006438999902456999, 43.1786994934082
SBLE;LEC;Coronel Horácio de Mattos;BA;BRASIL;AMÉRICA DO SUL;-41.2770004272, -12.4822998047
ULLI;LED;Pulkovo;;RÚSSIA;EUROPA;30.262500762939453, 59.80030059814453
EDDP;LEJ;Leipzig/Halle;;ALEMANHA;EUROPA;12.236389, 51.423889
SKLT;LET;Alfredo VÃ¡squez Cobo International;;COLOMBIA;AMÉRICA DO SUL;-69.9432, -4.19355
DXXX;LFW;LomÃ©-Tokoin;;TOGO;ÁFRICA;1.2545100450515747, 6.165609836578369
EBLG;LGG;Liége;;BÉLGICA;EUROPA;5.443220138549805, 50.63740158081055
EGKK;LGW;London Gatwick;;REINO UNIDO;EUROPA;-0.190278, 51.148102
OPLA;LHE;Alama Iqbal International;;PAQUISTÁO;ÁSIA;74.40360260009766, 31.5216007232666
EGLL;LHR;London Heathrow;;REINO UNIDO;EUROPA;-0.461941, 51.4706
SPJC;LIM;Jorge Chávez International;;PERU;AMÉRICA DO SUL;-77.114305, -12.0219
LPPT;LIS;Humberto Delgado (Lisbon Portela);;PORTUGAL;EUROPA;-9.13592, 38.7813
DNMM;LOS;Murtala Muhammed International;;NIGÉRIA;ÁFRICA;3.321160078048706, 6.5773701667785645
GCLP;LPA;Gran Canaria;;ILHAS CANÁRIAS;ÁFRICA;-15.38659954071045, 27.931900024414062
SLLP;LPB;El Alto International;;BOLÍVIA;AMÉRICA DO SUL;-68.19229888916016, -16.5132999420166
KLRD;LRD;Laredo International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-99.46160125732422, 27.543800354003906
SCSE;LSC;La Florida;;CHILE;AMÉRICA DO SUL;-71.199501, -29.916201
SELT;LTX;Cotopaxi International;;EQUADOR;AMÉRICA DO SUL;-78.615799, -0.906833
SAOU;LUQ;Brigadier Mayor D Cesar Raul Ojeda;;ARGENTINA;AMÉRICA DO SUL;-66.3563995361, -33.2732009888
ELLX;LUX;Luxembourg-Findel International;;LUXEMBURGO;EUROPA;6.2044444, 49.6233333
SILC;LVR;Municipal Bom Futuro;MT;BRASIL;AMÉRICA DO SUL;-55.95025, -13.037861
UKLL;LWO;Lviv International;;UCRANIA;EUROPA;23.956100463867188, 49.8125
SBMA;MAB;João Correa da Rocha;PA;BRASIL;AMÉRICA DO SUL;-49.138000488299994, -5.36858987808
LEMD;MAD;Adolfo Suárez, Madrid-Barajas;;ESPANHA;EUROPA;-3.56264, 40.471926
MMMA;MAM;General Servando Canales International;;MÉXICO;AMÉRICA DO NORTE;-97.5252990723, 25.7698993683
SBEG;MAO;Eduardo Gomes International;AM;BRASIL;AMÉRICA DO SUL;-60.049702, -3.03861
SVMC;MAR;La Chinita International;;VENEZUELA;AMÉRICA DO SUL;-71.7278594971, 10.5582084656
HKMO;MBA;Mombasa Moi International;;QUÚNIA;ÁFRICA;39.594200134277344, -4.034830093383789
MKJS;MBJ;Sangster International;;JAMAICA;AMÉRICA CENTRAL;-77.91339874267578, 18.503700256347656
SWMW;MBZ;Maués;AM;BRASIL;AMÉRICA DO SUL;-57.7248, -3.37217
KMCN;MCN;Middle Georgia Regional;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-83.64920043945312, 32.69279861450195
KMCO;MCO;Orlando International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-81.30899810791016, 28.429399490356445
SBMQ;MCP;Alberto Alcolumbre;AP;BRASIL;AMÉRICA DO SUL;-51.0722007751, 0.0506640002131
OOMS;MCT;Muscat International;;OMÁ;ÁSIA;58.284400939941406, 23.593299865722656
SBMO;MCZ;Zumbi dos Palmares;AL;BRASIL;AMÉRICA DO SUL;-35.79169845581055, -9.510809898376465
SKRG;MDE;Jose Maria CÃ³rdova International;;COLOMBIA;AMÉRICA DO SUL;-75.4231, 6.16454
SAME;MDZ;El Plumerillo;;ARGENTINA;AMÉRICA DO SUL;-68.7929000854, -32.8316993713
SBME;MEA;Macaé;RJ;BRASIL;AMÉRICA DO SUL;-41.7659988403, -22.343000412
SEMT;MEC;Eloy Alfaro International;;EQUADOR;AMÉRICA DO SUL;-80.67880249023438, -0.9460780024528503
KMEM;MEM;Memphis International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-89.97669982910156, 35.04240036010742
SBMD;MEU;Monte Dourado;PA;BRASIL;AMÉRICA DO SUL;-52.6022, -0.889839
MMMX;MEX;Licenciado Benito Juarez International;;MÉXICO;AMÉRICA DO NORTE;-99.072098, 19.4363
MNMG;MGA;Augusto C. Sandino (Managua) International;;NICARÁGUA;AMÉRICA CENTRAL;-86.16819763183594, 12.141500473022461
SBMG;MGF;Regional de Maringá - Sílvio Name Júnior;PR;BRASIL;AMÉRICA DO SUL;-52.016187, -23.47606
KMIA;MIA;Miami International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-80.29060363769531, 25.79319953918457
MMMD;MID;Licenciado Manuel Crescencio Rejon Int;;MÉXICO;AMÉRICA DO NORTE;-89.657699585, 20.937000274699997
SBML;MII;Frank Miloye Milenkowichi–Marília State;SP;BRASIL;AMÉRICA DO SUL;-49.926399231, -22.1968994141
LMML;MLA;Malta International;;MALTA;EUROPA;14.4775, 35.857498
KMLB;MLB;Melbourne International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-80.64530181884766, 28.102800369262695
SBMK;MOC;Mário Ribeiro;MG;BRASIL;AMÉRICA DO SUL;-43.818901062, -16.706899642899998
FQMA;MPM;Maputo;;MOÇAMBIQUE;ÁFRICA;32.572601, -25.920799
EGYP;MPN;Mount Pleasant;;REINO UNIDO;EUROPA;-58.447200775146484, -51.82279968261719
LFML;MRS;Marseille Provence;;FRANÇA;EUROPA;5.22142410278, 43.439271922
FIMP;MRU;Sir Seewoosagur Ramgoolam International;;MAURÁCIA;ÁFRICA;57.683601, -20.430201
KMSP;MSP;Minneapolis-St Paul International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-93.221802, 44.882
EHBK;MST;Maastricht Aachen;;HOLANDA;EUROPA;5.77014, 50.911701
KMSY;MSY;Louis Armstrong New Orleans International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-90.25800323486328, 29.99340057373047
SNMA;MTE;Monte Alegre;PA;BRASIL;AMÉRICA DO SUL;-54.07419967651367, -1.9958000183105469
MMMY;MTY;General Mariano Escobedo International;;MÉXICO;AMÉRICA DO NORTE;-100.107002258, 25.7784996033
EDDM;MUC;Munich;;ALEMANHA;EUROPA;11.7861, 48.353802
SVMT;MUN;MaturÃ­n;;VENEZUELA;AMÉRICA DO SUL;-63.14739990234375, 9.75452995300293
SUMU;MVD;Carrasco International /General C L Berisso;;URUGUAI;AMÉRICA DO SUL;-56.0308, -34.838402
SBMS;MVF;Dix-Sept Rosado;RN;BRASIL;AMÉRICA DO SUL;-37.3642997742, -5.2019200324999995
LIMC;MXP;Malpensa International;;ITÁLIA;EUROPA;8.72811, 45.6306
MYNN;NAS;Lynden Pindling International;;BAHAMAS;AMÉRICA CENTRAL;-77.466202, 25.039
SBSG;NAT;Governador Aluízio Alves International;RN;BRASIL;AMÉRICA DO SUL;-35.376111, -5.768056
HKJK;NBO;Jomo Kenyatta International;;QUÚNIA;ÁFRICA;36.9277992249, -1.31923997402
ZSNJ;NKG;Nanjing Lukou;;CHINA;ÁSIA;118.86199951171875, 31.742000579833984
SNNU;NNU;Nanuque;MG;BRASIL;AMÉRICA DO SUL;-40.329898834228516, -17.823299407958984
SAZN;NQN;Presidente Peron;;ARGENTINA;AMÉRICA DO SUL;-68.155701, -38.949001
RJAA;NRT;Narita International;;JAPÁO;ÁSIA;140.386002, 35.764702
SBNF;NVT;Ministro Victor Konder International;SC;BRASIL;AMÉRICA DO SUL;-48.651402, -26.879999
SSKW;OAL;Cacoal;RO;BRASIL;AMÉRICA DO SUL;-61.4508, -11.496
SNTI;OBI;Óbidos;PA;BRASIL;AMÉRICA DO SUL;-55.514400482177734, -1.867169976234436
KONT;ONT;Ontario International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-117.60099792480469, 34.055999755859375
LPPR;OPO;Francisco de SÃ¡ Carneiro;;PORTUGAL;EUROPA;-8.68138980865, 41.2481002808
SWSI;OPS;Presidente João Batista Figueiredo;MT;BRASIL;AMÉRICA DO SUL;-55.586109, -11.885001
SASO;ORA;Orán;;ARGENTINA;AMÉRICA DO SUL;-64.3292007446, -23.1527996063
KORD;ORD;Chicago O'Hare International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-87.9048, 41.9786
SNOX;ORX;Oriximiná;PA;BRASIL;AMÉRICA DO SUL;-55.83620071411133, -1.7140799760818481
LFPO;ORY;Paris-Orly;;FRANÇA;EUROPA;2.3794444, 48.7233333
LKMT;OSR;Ostrava Leos JanÃ¡Äek;;REPÚBLICA TCHECA;EUROPA;18.111099243164062, 49.6963005065918
EBOS;OST;Ostend-Bruges International;;BÉLGICA;EUROPA;2.8622200489, 51.198898315399994
SBOI;OYK;Oiapoque;AP;BRASIL;AMÉRICA DO SUL;-51.79690170288086, 3.85548996925354
MTPP;PAP;Toussaint Louverture International;;HAITI;AMÉRICA CENTRAL;-72.2925033569336, 18.579999923706055
SBUF;PAV;Paulo Afonso;BA;BRASIL;AMÉRICA DO SUL;-38.250598907471, -9.4008798599243
