icao;iata;nome;state;country;continent;coordinates
SARE;RES;Resistencia International;;ARGENTINA;AMÉRICA DO SUL;-59.0561, -27.45
SANR;RHD;Termas de RÃ­o Hondo international;;ARGENTINA;AMÉRICA DO SUL;-64.93595, -27.4966
SBSM;RIA;Santa Maria;RS;BRASIL;AMÉRICA DO SUL;-53.688202, -29.711399
SJRG;RIG;Rio Grande Regional;RS;BRASIL;AMÉRICA DO SUL;-52.167184, -32.083065
SWRD;ROO;Maestro Marinho Franco;MT;BRASIL;AMÉRICA DO SUL;-54.7248, -16.586
SAAR;ROS;Islas Malvinas;;ARGENTINA;AMÉRICA DO SUL;-60.785, -32.9036
KRSW;RSW;Southwest Florida International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-81.75520324707031, 26.53619956970215
SWLC;RVD;General Leite de Castro;GO;BRASIL;AMÉRICA DO SUL;-50.956111907958984, -17.8347225189209
SURV;RVY;Presidente General Don Oscar D. Gestido International;;URUGUAI;AMÉRICA DO SUL;-55.476200103759766, -30.974599838256836
MSLP;SAL;MonseÃ±or Ãscar Arnulfo Romero International;;EL SALVADOR;AMÉRICA CENTRAL;-89.055702, 13.4409
MHLM;SAP;RamÃ³n Villeda Morales International;;HONDURAS;AMÉRICA CENTRAL;-87.923599, 15.4526
KSAT;SAT;San Antonio International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-98.469803, 29.533701
LTFJ;SAW;Sabiha Gökçen International;;TURQUIA;ÁSIA;29.3092002869, 40.898601532
KSBD;SBD;San Bernardino International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-117.23500061, 34.0954017639
SCEL;SCL;Comodoro Arturo Merino BenÃ­tez International;;CHILE;AMÉRICA DO SUL;-70.78579711914062, -33.393001556396484
MDSD;SDQ;Las Américas International;;REPÚBLICA DOMINICANA;AMÉRICA CENTRAL;-69.668899536133, 18.42970085144
SBRJ;SDU;Santos Dumont;RJ;BRASIL;AMÉRICA DO SUL;-43.1631011963, -22.910499572799996
SAAV;SFN;Sauce Viejo;;ARGENTINA;AMÉRICA DO SUL;-60.8117, -31.7117
KSFO;SFO;San Francisco International;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;-122.375, 37.61899948120117
GVAC;SID;AmÃ­lcar Cabral International;;CABO VERDE;ÁFRICA;-22.9494, 16.7414
WSSS;SIN;Singapore Changi;;SINGAPURA;ÁSIA;103.994003, 1.35019
MMSD;SJD;Los Cabos International;;MÉXICO;AMÉRICA DO NORTE;-109.72100067138672, 23.15180015563965
SBSJ;SJK;Professor Urbano Ernesto Stumpf;SP;BRASIL;AMÉRICA DO SUL;-45.86149978637695, -23.22920036315918
SBUA;SJL;São Gabriel da Cachoeira;AM;BRASIL;AMÉRICA DO SUL;-66.9855, -0.14835
MROC;SJO;Juan Santamaria International;;COSTA RICA;AMÉRICA CENTRAL;-84.20880126953125, 9.993860244750977
SBSR;SJP;Prof. Eribelto Manoel Reino State;SP;BRASIL;AMÉRICA DO SUL;-49.40650177, -20.816600799599996
TJSJ;SJU;Luis Munoz Marin International;;PORTO RICO;AMÉRICA CENTRAL;-66.0018005371, 18.4393997192
SASA;SLA;Martin Miguel De Guemes International;;ARGENTINA;AMÉRICA DO SUL;-65.4861984253, -24.856000900299996
SBSL;SLZ;Marechal Cunha Machado International;MA;BRASIL;AMÉRICA DO SUL;-44.234100341796875, -2.585360050201416
