icao_code;iata_code;name;coordinates;elevation_ft;continent;iso_country;uf;municipality
SBPA;POA;Salgado Filho Airport;-51.1713981628418, -29.994400024414062;11;SA;BR;RS;Porto Alegre
SBPB;PHB;Prefeito Doutor João Silva Filho Airport;-41.73199844359999, -2.89374995232;16;SA;BR;PI;Parnaíba
SBPC;POO;Poços de Caldas - Embaixador Walther Moreira Salles Airport;-46.567901611328, -21.843000411987;4135;SA;BR;MG;Poços De Caldas
SBPF;PFB;Lauro Kurtz Airport;-52.326599, -28.243999;2376;SA;BR;RS;Passo Fundo
SBPJ;PMW;Brigadeiro Lysias Rodrigues Airport;-48.35699844359999, -10.291500091600001;774;SA;BR;TO;Palmas
SBPK;PET;João Simões Lopes Neto International Airport;-52.327702, -31.718399;59;SA;BR;RS;Pelotas
SBPL;PNZ;Senador Nilo Coelho Airport;-40.56909942626953, -9.362409591674805;1263;SA;BR;PE;Petrolina
SDPE;PNB;Porto Nacional Airport;-48.3997, -10.719402;870;SA;BR;TO;Porto Nacional
SBPP;PMG;Ponta Porã Airport;-55.702598571777344, -22.54960060119629;2156;SA;BR;MS;Ponta Porã
SBPS;BPS;Porto Seguro Airport;-39.080898, -16.438601;168;SA;BR;BA;Porto Seguro
SBPV;PVH;Governador Jorge Teixeira de Oliveira Airport;-63.90230178833008, -8.70928955078125;290;SA;BR;RO;Porto Velho
SBRB;RBR;Rio Branco-Plácido de Castro International Airport;-67.893984, -9.869031;633;SA;BR;AC;Rio Branco
SBRF;REC;Guararapes - Gilberto Freyre International Airport;-34.92359924316406, -8.126489639282227;33;SA;BR;PE;Recife
SBRJ;SDU;Santos Dumont Airport;-43.1631011963, -22.910499572799996;11;SA;BR;RJ;Rio De Janeiro
SBRP;RAO;Leite Lopes Airport;-47.776668548583984, -21.136388778686523;1806;SA;BR;SP;Ribeirão Preto
SSRS;BRB;Barreirinhas Airport;-42.805666, -2.756628;40;SA;BR;MA;
SBSC;SNZ;Santa Cruz Air Force Base;-43.719101, -22.9324;10;SA;BR;RJ;Rio de Janeiro
SBSG;NAT;Governador Aluízio Alves International Airport;-35.376111, -5.768056;272;SA;BR;RN;Natal
SBSJ;SJK;Professor Urbano Ernesto Stumpf Airport;-45.86149978637695, -23.22920036315918;2120;SA;BR;SP;São José Dos Campos
SBSL;SLZ;Marechal Cunha Machado International Airport;-44.234100341796875, -2.585360050201416;178;SA;BR;MA;São Luís
SBSM;RIA;Santa Maria Airport;-53.688202, -29.711399;287;SA;BR;RS;Santa Maria
SBSN;STM;Maestro Wilson Fonseca Airport;-54.785831451416016, -2.4247219562530518;198;SA;BR;PA;Santarém
SBSO;SMT;Adolino Bedin Regional Airport;-55.672341, -12.479177;1266;SA;BR;MT;Sorriso
SBSP;CGH;Congonhas Airport;-46.65638732910156, -23.626110076904297;2631;SA;BR;SP;São Paulo
SBSR;SJP;Prof. Eribelto Manoel Reino State Airport;-49.40650177, -20.816600799599996;1784;SA;BR;SP;São José Do Rio Preto
SBST;SSZ;Base Aérea de Santos;-46.299720764160156, -23.928056716918945;13;SA;BR;SP;Guarujá
SBSV;SSA;Deputado Luiz Eduardo Magalhães International Airport;-38.3224983215, -12.9086112976;64;SA;BR;BA;Salvador
SBTB;TMT;Trombetas Airport;-56.396800994873, -1.489599943161;287;SA;BR;PA;Oriximiná
SBTC;UNA;Hotel Transamérica Airport;-38.9990005493, -15.355199813799999;20;SA;BR;BA;Una
SBTD;TOW;Toledo Airport;-53.697498, -24.6863;1843;SA;BR;PR;Toledo
SBTE;THE;Senador Petrônio Portela Airport;-42.8235015869, -5.0599398613;219;SA;BR;PI;Teresina
SBTF;TFF;Tefé Airport;-64.7240982056, -3.38294005394;188;SA;BR;AM;Tefé
SBTK;TRQ;Tarauacá Airport;-70.783302307129, -8.1552600860596;646;SA;BR;AC;Tarauacá
