icao_code;iata_code;name;coordinates;elevation_ft;continent;iso_country;uf;municipality
SWCA;CAF;Carauari Airport;-66.89749908447266, -4.871520042419434;355;SA;BR;AM;Carauari
SWCQ;CQS;Costa Marques Airport;-64.25160217285156, -12.421099662780762;555;SA;BR;RO;Costa Marques
SWDM;DMT;Diamantino Airport;-56.40039825439453, -14.376899719238281;1476;SA;BR;MT;Diamantino
SWDN;DNO;Dianópolis Airport;-46.846698761, -11.5953998566;2001;SA;BR;TO;Dianópolis
SWEI;ERN;Eirunepé Airport;-69.87979888916016, -6.639530181884766;412;SA;BR;AM;Eirunepé
SWEK;CQA;Canarana Airport;-52.27055740356445, -13.574443817138672;1314;SA;BR;MT;Canarana
SWFX;SXO;São Félix do Araguaia Airport;-50.68960189819336, -11.632399559020996;650;SA;BR;MT;São Félix Do Araguaia
SWGI;GRP;Gurupi Airport;-49.132198333740234, -11.73960018157959;1148;SA;BR;TO;Gurupi
SWGN;AUX;Araguaína Airport;-48.240501, -7.22787;771;SA;BR;TO;Araguaína
SWHT;HUW;Humaitá Airport;-63.072101593, -7.532120227810001;230;SA;BR;AM;Humaitá
SWII;IPG;Ipiranga Airport;-69.69400024414062, -2.939069986343384;131;SA;BR;AM;Santo Antônio Do Içá
SWIY;IDO;Santa Izabel do Morro Airport;-50.66619873046875, -11.57229995727539;647;SA;BR;TO;Cristalândia
SBJI;JPR;Ji-Paraná Airport;-61.8465003967, -10.870800018299999;598;SA;BR;RO;Ji-Paraná
SWJN;JIA;Juína Airport;-58.701668, -11.419444;1083;SA;BR;MT;Juína
SWJU;JRN;Juruena Airport;-58.489444732666016, -10.305832862854004;525;SA;BR;MT;Juruena
SWJW;JTI;Jataí Airport;-51.7729988098, -17.8299007416;2529;SA;BR;GO;Jataí
SWKC;CCX;Cáceres Airport;-57.62990188598633, -16.04360008239746;492;SA;BR;MT;Cáceres
SWKO;CIZ;Coari Airport;-63.132598876953125, -4.134059906005859;131;SA;BR;AM;Coari
SWKT;TLZ;Catalão Airport;-47.89970016479492, -18.216800689697266;2612;SA;BR;GO;Catalão
SWLB;LBR;Lábrea Airport;-64.76950073242188, -7.278969764709473;190;SA;BR;AM;Lábrea
SWLC;RVD;General Leite de Castro Airport;-50.956111907958984, -17.8347225189209;2464;SA;BR;GO;Rio Verde
SWMW;MBZ;Maués Airport;-57.7248, -3.37217;69;SA;BR;AM;Maués
SWNA;NVP;Novo Aripuanã Airport;-60.364898681640625, -5.118030071258545;118;SA;BR;AM;Novo Aripuanã
SWNK;BCR;Novo Campo Airport;-67.312401, -8.83456;394;SA;BR;AM;Boca do Acre
SWNQ;NQL;Niquelândia Airport;-48.49150085449219, -14.434900283813477;2756;SA;BR;GO;Niquelândia
SWNS;APS;Anápolis Airport;-48.9271011353, -16.3623008728;3648;SA;BR;GO;Anápolis
SWOB;FBA;Fonte Boa Airport;-66.0831985474, -2.5326099395800004;207;SA;BR;AM;Fonte Boa
SWPG;PBV;Porto dos Gaúchos Airport;-57.3782, -11.5404;1312;SA;BR;MT;Porto Dos Gaúchos
SWPI;PIN;Parintins Airport;-56.777198791503906, -2.6730198860168457;87;SA;BR;AM;Parintins
SWPM;PBQ;Pimenta Bueno Airport;-61.179100036621094, -11.641599655151367;682;SA;BR;RO;Pimenta Bueno
SWPQ;PBX;Fazenda Piraguassu Airport;-51.685001373291, -10.861110687256;705;SA;BR;MT;Porto Alegre Do Norte
SWRA;AAI;Arraias Airport;-46.884107, -13.025154;1923;SA;BR;TO;Arraias
SBRD;ROO;Maestro Marinho Franco Airport;-54.7248, -16.586;1467;SA;BR;MT;Rondonópolis
SSOU;AIR;Aripuanã Airport;-59.457273, -10.188278;623;SA;BR;MT;Aripuanã
SBSI;OPS;Presidente João Batista Figueiredo Airport;-55.586109, -11.885001;1227;SA;BR;MT;Sinop
SWST;STZ;Santa Terezinha Airport;-50.518611907958984, -10.4647216796875;663;SA;BR;MT;Santa Terezinha
SWTP;IRZ;Tapuruquara Airport;-64.9923, -0.3786;223;SA;BR;AM;Santa Isabel Do Rio Negro
SWTS;TGQ;Tangará da Serra Airport;-57.4435005188, -14.661999702500001;1460;SA;BR;MT;Tangará Da Serra
SWTU;AZL;Fazenda Tucunaré Airport;-58.866935, -13.465528;1814;SA;BR;MT;Sapezal
SWTY;QHN;Taguatinga Airport;-46.40055465698242, -12.433889389038086;1959;SA;BR;TO;Taguatinga
SWUA;SQM;São Miguel do Araguaia Airport;-50.197601318359375, -13.331299781799316;1249;SA;BR;GO;São Miguel Do Araguaia
SWVB;MTG;Vila Bela da Santíssima Trindade Airport;-59.9458, -14.9942;660;SA;BR;MT;Vila Bela Da Santíssima Trindade
SWVC;VLP;Vila Rica Airport;-51.1422233581543, -9.979443550109863;892;SA;BR;MT;Vila Rica
SWXM;MBK;Regional Orlando Villas Boas Airport;-54.9527778625, -10.170277595500002;886;SA;BR;MT;Matupá
SWXV;NOK;Xavantina Airport;-52.34640121459961, -14.6983003616333;1035;SA;BR;MT;Nova Xavantina
