airport_iata,airport_icao,lat,lon,name,city,country
BUN,SKBU,3.8183,-76.9931,Buenaventura Airport,Buenaventura,Colombia
CUC,SKCC,7.93,-72.5094,Camilo Daza Airport,Cúcuta,Colombia
BOG,SKBO,4.69895,-74.1435,Eldorado International Airport,Fontibón,Colombia
GPI,KGPI,2.5806,-77.9083,Guapi Airport,Guapí,Colombia
CTG,SKCG,10.4481,-75.5106,Rafael Nunez Airport,La Boquilla,Colombia
AXM,SKAR,4.4564,-75.7681,El Eden Airport,La Tebaida,Colombia
EOH,SKMD,6.2231,-75.5886,Olaya Herrera Airport,Medellin,Colombia
CLO,SKCL,3.5461,-76.385,Alfonso Bonilla Aragon International Airport,Obando,Colombia
PEI,SKPE,4.8147,-75.745,Matecana Airport,Pereira,Colombia
MDE,SKRG,6.1675,-75.4267,Jose Maria Cordova Airport,Ríonegro,Colombia
ADZ,SKSP,12.5811,-81.7092,Sesquicentenario Airport,San Andrés,Colombia
BAQ,SKBQ,10.8961,-74.7789,Ernesto Cortissoz Airport,Soledad,Colombia
SJO,MROC,9.9919,-84.2114,Juan Santamaria International Airport,Heredia,Costa Rica
LIR,MRLB,10.5922,-85.5439,Tomas Guardia International Airport,Liberia,Costa Rica
PLD,KPLD,9.88107,-85.5507,Playa Samara Airport,Nicoya,Costa Rica
PMZ,KPMZ,8.9531,-83.4703,Palmar Sur Airport,Palmar Sur,Costa Rica
XQP,MRQP,9.4442,-84.1311,Quepos Managua Airport,Quepos,Costa Rica
CYO,KCYO,21.6169,-81.5422,Cayo Largo del sur Airport,Cayo Largo Del Sur,Cuba
GAO,KGAO,20.143,-75.209,Cuba,Guantanamo,Cuba
HOG,MUHG,20.7853,-76.315,Holguin Airport,San Pedro de Cacocum,Cuba
VRA,MUVR,23.0306,-81.4367,Varadero Airport,Varadero,Cuba
HAV,MUHA,22.9894,-82.4075,Jose Marti International Airport,Wajay,Cuba
SCU,MUCU,19.9708,-75.8364,Antonio Maceo Airport,,Cuba
BRQ,LKTB,49.1535,16.6908,Turany Airport,Brno,Czech Republic
KLV,LKKV,50.2009,12.9149,Karlovy Vary Airport,Carlsbad,Czech Republic
OSR,LKMT,49.6888,18.1178,Mosnov Airport,Mošnov,Czech Republic
PED,LKPD,50.0372,15.7785,Pardubice,Pardubice,Czech Republic
PRG,KPRG,50.1079,14.2675,Prague Ruzyne Airport,Prague 6,Czech Republic
FIH,FZAA,-4.3847,15.445,Kinshasa N Djili International Airport,Kinshasa,Democratic Republic of Congo
BLL,EKBI,55.742,9.15354,Billund Airport,Billund,Denmark
EBJ,EKEB,55.5247,8.55388,Esbjerg Airport,Esbjerg,Denmark
KRP,EKKA,56.3028,9.1141,Karup Airport,Kårup,Denmark
CPH,EKCH,55.6205,12.6495,Copenhagen Airport,Kastrup,Denmark
AAR,EKAH,56.3088,10.6154,Tirstrup Airport,Kolind,Denmark
AAL,EKYT,57.0952,9.85606,Aalborg Airport,Norresundby,Denmark
RNN,EKRN,55.0681,14.7472,Bornholm Airport,Ronne,Denmark
SGD,EKSB,54.963,9.78978,Sonderborg Airport,Sonderborg,Denmark
JIB,HDAM,11.5467,43.1592,Djibouti Ambouli Airport,Djibouti City,Djibouti
DOM,TDPD,15.5431,-61.3092,Melville Hall Airport,Marigot,Dominica
DCF,TDCF,15.5333,-61.4,Cane Field Airport,Portsmouth,Dominica
STI,MDST,19.4692,-70.7003,Cibao International Airport,La Lomota,Dominican Republic
LRM,MDLR,18.4103,-68.9417,La Romana Airport,La Romana,Dominican Republic
PUJ,MDPC,18.5675,-68.3469,Punta Cana Airport,Salvaleón de Higüey,Dominican Republic
AZS,MDEP,19.2099,-69.3279,Samana El Catey International Airport,Samana,Dominican Republic
POP,MDPP,19.7575,-70.5692,Puerto Plata International Airport,San Felipe de Puerto Plata,Dominican Republic
SDQ,MDSD,18.4292,-69.6692,De Las Americas International Airport,Santo Domingo,Dominican Republic
CUE,SECU,-2.8867,-78.9833,Mariscal Lamar Airport,Cuenca,Ecuador
GYE,SEGU,-2.1533,-79.8833,Simon Bolivar International Airport,Guayaquil,Ecuador
UIO,SEQU,-0.1381,-78.4833,Mariscal Sucre International Airport,Quito,Ecuador
SNC,KSNC,-2.2,-80.985,General Ulpiano Paez Airport,Salinas,Ecuador
XMS,SEMC,-2.335,-78.1669,Macas Airport,Zúñac,Ecuador
