airport_iata,airport_icao,lat,lon,name,city,country
ADU,OITL,38.2465,48.2951,Ardabil Airport,Ardabil,Iran
PGU,OIBI,36.9243,-111.451,Page Municipal Airport,Asalouyeh,Iran
BUZ,OIBB,28.9494,50.8311,Bushehr Airport,Bandar-e Bushehr,Iran
XBJ,OIMB,32.8983,59.2631,Birjand Airport,Birjand,Iran
JYR,KJYR,28.7244,57.6683,Jiroft,Jiroft,Iran
KSH,OICC,34.3489,47.1572,Bakhtaran Airport,Kermanshah,Iran
RAS,KRAS,37.3256,49.6092,Rasht Airport,Rasht,Iran
ACP,KACP,68.1609,-151.696,Sahand Airport,Sahand,Iran
SYZ,OISS,29.54,52.5897,Shiraz International Airport,Shiraz,Iran
TBZ,OITT,38.1322,46.2431,Tabriz Airport,Tabriz,Iran
IKA,OIIE,35.5683,51.4436,Imam Khomeini International Airport,Tehran,Iran
THR,OIII,35.6908,51.3144,Mehrabad International Airport,Tehran,Iran
OMH,KOMH,37.6694,45.0703,Uromiyeh Airport,Urmieh,Iran
AZD,OIYY,31.905,54.2786,Yazd Airport,Yezd,Iran
ACZ,KACZ,31.0385,61.4962,Zabol A/P,Zabol,Iran
EBL,ORER,36.1797,44.016,Erbil,Erbil,Iraq
GWY,EICM,53.3016,-8.94049,Carnmore Airport,Carnmore,Ireland
DUB,EIDW,53.4272,-6.24418,Dublin Airport,Cloghran,Ireland
KIR,EIKY,52.1767,-9.5333,Kerry County Airport,Farranfore,Ireland
ORK,EICK,51.8463,-8.48897,Cork Airport,Fivemilebridge,Ireland
NOC,EIKN,53.9133,-8.81129,Connaught Airport,Knock,Ireland
SXL,EISG,54.275,-8.6,Sligo Airport,Larass,Ireland
CFN,EIDL,55.0416,-8.3436,Carrickfin Airport,Mullaghduff,Ireland
SNN,EINN,52.6931,-8.92047,Shannon Airport,Shannon Airport,Ireland
WAT,EIWF,52.1972,-7.0889,Waterford Airport,Waterford,Ireland
ETH,LLET,29.5541,34.9554,J Hozman Airport,Elat,Israel
VDA,LLOV,29.9528,34.9583,Ovda Airport,Ovda,Israel
TLV,LLBG,32.0117,34.8861,Ben Gurion Airport,Petaẖ Tiqwa,Israel
AHO,LIEA,40.6319,8.29279,Alghero Airport,Alghero,Italy
BRI,LIBD,41.1376,16.7674,Palese Macchie Airport,Bari,Italy
BLQ,LIPE,44.5345,11.2903,Bologna Airport,Bologna,Italy
BZO,LIPB,46.4621,11.3282,Bolzano Airport,Botzen,Italy
BDS,LIBR,40.6626,17.9426,Casale Airport,Brindisi,Italy
LMP,LICD,35.4995,12.6165,Lampedusa Airport,Caltabellotta,Italy
MXP,LIMC,45.6314,8.72284,Malpensa International Airport,Cardano al Campo,Italy
SUF,LICA,38.9087,16.2443,Lamezia Terme Airport,Case Cervi,Italy
TRN,LIMF,45.1975,7.64937,Turin International Airport,Caselle,Italy
CTA,LICC,37.4696,15.0672,Catania Fontanarossa Airport,Catania,Italy
PMO,LICJ,38.1822,13.1031,Palermo Airport,Cinisi,Italy
AOI,LIPY,43.6158,13.3634,Falconara Airport,Falconara Marittima,Italy
FLR,LIRQ,43.8097,11.2003,Florence Airport,Florence,Italy
FRL,LIPK,44.1953,12.0686,Forli Airport,Forli,Italy
GOA,LIMJ,44.4119,8.84633,Genoa Cristoforo Colombo Airport,Genoa,Italy
BGY,LIME,45.6664,9.699,Orio Al Serio Airport,Grassobbio,Italy
NAP,LIRN,40.8837,14.2815,Naples International Airport,Naples,Italy
PMF,LIMP,44.8232,10.2949,Parma Airport,Parma,Italy
PSR,LIBP,42.4337,14.1846,Pescara Airport,Pescara,Italy
LIN,LIML,45.4558,9.27269,Linate Airport,Peschiera Borromeo,Italy
PSA,LIRP,43.6959,10.3976,Pisa Airport,Pisa,Italy
RMI,LIPR,44.0225,12.618,Rimini Airport,Rimini,Italy
CIA,LIRA,41.8004,12.5908,Ciampino Airport,Rome,Italy
FCO,LIRF,41.8026,12.2551,Leonardo da Vinci International Airport,Rome,Italy
TRS,LIPQ,45.8234,13.4841,Ronchi Dei Legionari Airport,Ronchi,Italy
CAG,KCAG,39.2527,9.05813,Elmas Airport,Sardara,Italy
TPS,LICT,37.9021,12.4994,Trapani Birgi Airport,Trapani,Italy
TSF,LIPH,45.6513,12.2022,Treviso Airport,Treviso,Italy
VCE,LIPZ,45.505,12.3433,Marco Polo International Airport,Venice,Italy
VBS,LIPO,45.4343,10.3214,Brescia Montichiari,Verona,Italy
ABJ,DIAP,5.2556,-3.9292,Abidjan Port Bouet Airport,Abidjan,Ivory Coast
KIN,MKJP,17.9305,-76.7898,Norman Manley,Kingston,Jamaica
MBJ,MKJS,18.5042,-77.9125,Sangster International Airport,Montego Bay,Jamaica
AXT,RJSK,39.6153,140.219,Akita Airport,Akita-shi,Japan
ASJ,RJKA,28.431,129.712,Amami Airport,Amami O Shima,Japan
AOJ,RJSA,40.7357,140.69,Aomori Airport,Aomori-shi,Japan
AKJ,RJEC,43.665,142.453,Asahikawa Airport,Asahikawa-shi,Japan
CTS,RJCC,42.7757,141.691,New Chitose Airport,Chitose-shi,Japan
FUK,RJFF,33.5971,130.443,Fukuoka Airport,Fukuoka-shi,Japan
HKD,RJCH,41.7706,140.824,Hakodate Airport,Hakodate-shi,Japan
ITM,RJOO,34.7857,135.439,Osaka International Airport,Itami-shi,Japan
KMJ,RJFT,32.8346,130.849,Kumamoto Airport,Kikuyo-machi,Japan
KOJ,RJFK,31.8,130.718,Kagoshima Airport,Kirishima-shi,Japan
OIT,RJFO,33.4801,131.737,Oita Airport,Kunisaki-shi,Japan
MYJ,KMYJ,33.8276,132.7,Matsuyama Airport,Matsuyama-shi,Japan
OKA,ROAH,24.8289,125.146,Shimojishima Airport,Naha-shi,Japan
NRT,RJAA,35.7491,140.389,Narita International Airport,Narita-shi,Japan
SDJ,RJSS,38.1401,140.918,Sendai Airport,Natori-shi,Japan
KIJ,RJSN,37.9553,139.113,Niigata Airport,Niigata-shi,Japan
OKJ,RJOB,34.7579,133.855,Okayama Airport,Okayama-shi,Japan
NGS,KNGS,32.9141,129.917,Nagasaki Airport,Omura-shi,Japan
FKS,KFKS,37.2314,140.429,Fukushima Airport,Sukagawa-shi,Japan
KIX,RJBB,34.4295,135.244,Kansai International Airport,Tajiri-cho,Japan
NGO,RJGG,34.8624,136.811,Chubu International Airport,Tokoname-shi,Japan
HND,KHND,35.5533,139.771,Tokyo International Airport,Tokyo,Japan
NKM,RJNA,35.2527,136.924,Nagoya Airport,Toyoyama-cho,Japan
ADJ,OJAM,31.973,35.9822,Al Matar Airport,Amman,Jordan
AMM,OJAI,31.7231,35.9936,Queen Alia International Airport,Amman,Jordan
AQJ,OJAQ,29.6119,35.0178,Aqaba International Airport,Aqaba,Jordan
ALA,UAAA,43.3608,77.0319,Alma Ata Airport,Almaty,Kazakhstan
AKX,UATT,50.2362,57.2115,Aktyubinsk Airport,Aqtobe,Kazakhstan
KSN,EKSN,53.2297,63.6038,Kustanay Airport,Qostanay,Kazakhstan
DZN,UAKD,47.7131,67.7065,Dzhezkazgan South Airport,Zhezqazghan,Kazakhstan
ASV,HKAM,-2.63333,37.25,Amboseli,Amboseli,Kenya
MBA,HKMO,-4.0314,39.5936,Moi International Airport,Mombasa,Kenya
NBO,HKJK,-1.31697,36.9222,Jomo Kenyatta International Airport,Nairobi,Kenya
WIL,HKNW,-1.31888,36.8157,Nairobi Wilson Airport,Nairobi,Kenya
KWI,OKBK,29.2442,47.9748,Kuwait International Airport,Kuwait City,Kuwait
FRU,UAFM,43.0603,74.4866,Vasilyevka Airport,Bishkek,Kyrgyzstan
HOE,KHOE,20.5,103.75,Houeisay,Houeisay,Lao People's Democratic Republic
ZVK,VLSK,16.5536,104.763,Savannakhet Airport,Savannakhet,Laos
VTE,VLVT,17.9833,102.565,Vientiane Airport,Vientiane,Laos
RIX,EVRA,56.9231,23.9717,Riga Airport,Marupe,Latvia
BEY,OLBA,33.825,35.4925,Beirut International Airport,Beirut,Lebanon
BEN,HLLB,35.6425,-87.1192,Benina Intl,Benghazi,Libya
AKF,HLKF,24.1819,23.3189,Kufra Airport,Kufrah,Libya
MJI,HLLM,26.3385,17.2688,Libya,Mitiga,Libya
TIP,HLLT,31,15,International,Tripoli,Libyan Arab Jamahiriya
PLQ,EYPA,55.9661,21.0825,Palanga International,Klaipeda/Palanga,Lithuania
VNO,EYVI,54.64,25.2803,Vilnius Airport,Vilnius,Lithuania
LUX,ELLX,49.6269,6.20685,Luxembourg Airport,Sandweiler,Luxembourg
MFM,VMMC,22.1845,113.532,Macau Airport,Macau,Macau
OHD,LWOH,41.1806,20.7431,Ohrid Airport,Ohrid,Macedonia
SKP,LWSK,41.9606,21.6217,Petrovec,Skopje,Macedonia
TNR,FMMI,-18.7953,47.4861,Antananarivo Ivato Airport,Ambohidratrimo,Madagascar
ANM,FMNH,-18.7772,46.8543,Madagascar,Antalaha,Madagascar
DIE,FMNA,-12.3461,49.2925,Antsiranana Arrachart Airport,Antseranana,Madagascar
SMS,KSMS,-17.0939,49.8158,Sainte Marie Airport,Toamasina,Madagascar
BLZ,FWCL,-15.6764,34.9714,Chileka International Airport,Lunzu,Malawi
PEN,WMKP,5.2975,100.278,Penang International Airport,Batu Maung,Malaysia
BTU,WBGB,3.1728,113.043,Bintulu Airport,Bintulu,Malaysia
IPH,WMKI,4.5669,101.096,Ipoh Airport,Ipoh,Malaysia
SZB,WMSA,3.1303,101.551,Sultan Abdul Aziz Shah Airport,Kampong Baru Subang,Malaysia
AOR,WMKA,6.1947,100.404,Sultan Abdul Halim Airport,Kepala Batas,Malaysia
BKI,WBKK,5.9386,116.049,Kota Kinabalu Airport,Kota Kinabalu,Malaysia
KUL,WMKK,2.77859,101.689,Kuala Lumpur International Airport,Sepang,Malaysia
HAQ,VRMH,6.75785,73.1472,Hanimadu,Hanimaadhoo,Maldives
GAN,VRMG,-0.6912,73.16,Gan Island Airport,Hithadhoo,Maldives
MLE,KMLE,4.167,73.4974,Male International Airport,Male,Maldives
BKO,GABS,12.5361,-7.9486,Bamako Senou Airport,Kalaban,Mali
MLA,LMML,35.8586,14.4781,Luqa Airport,Curmi,Malta
RNP,KRNP,11.15,166.883,Rongelap Island,Rongelap Island,Marshall Islands
FDF,TFFF,14.5897,-61.0092,Le Lamentin Airport,Ducos,Martinique
ATR,GQPA,20.5067,-13.0436,Atar Airport,Atar,Mauritania
NKC,GQNN,18.0975,-15.9478,Nouakchott Airport,Nouakchott,Mauritania
OUZ,GQPZ,22.7337,-12.4941,Mauritania,Zouerate,Mauritania
MRU,FIMP,-20.4272,57.6767,Plaisance International Airport,Mahebourg,Mauritius
DZA,FMCZ,-12.8,45.2833,Dzaoudzi Pamanzi Airport,Mamoudzou,Mayotte
ACA,MMAA,16.7561,-99.7536,General Juan N Alvarez International Airport,Acapulco,Mexico
AGU,MMAS,21.7047,-102.317,Aguascalientes Airport,Aguascalientes,Mexico
LMM,MMLM,25.6856,-109.082,Los Mochis Airport,Ahome,Mexico
MLM,MMMM,19.8464,-101.029,General Francisco J Mujica Airport,Álvaro Obregón,Mexico
LZC,MMLC,17.9889,-102.219,Lazaro Cardenas Airport,Arteaga,Mexico
CPE,MMCP,19.8158,-90.5008,Ignacio Alberto Acuna Ongay Airport,Campeche,Mexico
CUN,MMUN,21.0406,-86.8744,Cancun Airport,Cancun,Mexico
CME,MMCE,18.6522,-91.8011,Ciudad del Carmen Airport,Carmen Olorón,Mexico
PAZ,MMPA,20.6086,-97.4717,Tajin Airport,Castillo de Teayo,Mexico
CTM,MMCM,18.5039,-88.3247,Chetumal International Airport,Chetumal,Mexico
CUU,MMCU,28.7028,-105.964,General R F Villalobos International Airport,Chihuahua,Mexico
CJS,MMCS,31.6361,-106.428,Ciudad Juarez International Airport,Ciudad Juarez,Mexico
CEN,MMCN,27.3925,-109.832,Ciudad Obregon Airport,Ciudad Obregón,Mexico
LTO,MMLT,25.9858,-111.353,Loreto Airport,Comondú,Mexico
CLQ,MMIA,19.2733,-103.577,Colima Airport,Cuauhtémoc,Mexico
CUL,MMCL,24.7644,-107.474,Culiacan Airport,Culiacan,Mexico
DGO,MMDO,24.1283,-104.527,Durango Airport,Durango,Mexico
LOV,MMMV,26.9561,-101.467,Monclova Airport,Frontera,Mexico
SLW,MMIO,25.5467,-100.929,Plan de Guadalupe Airport,General Cepeda,Mexico
GYM,MMGM,27.9689,-110.924,General Jose Maria Yanez in Airport,Guaymas,Mexico
CVM,MMCV,23.7139,-98.9653,Ciudad Victoria Airport,Güémez,Mexico
HMO,MMHO,29.0967,-111.047,Gen Ignacio P Garcia International Airport,Hermosillo,Mexico
LAP,MMLP,24.0722,-110.362,General Manuel Marquez de Leon International Air,La Paz,Mexico
ZLO,MMZO,19.1478,-104.56,Playa de Oro International Airport,Manzanillo,Mexico
MAM,MMMA,25.7694,-97.5239,General Sevando Canales Airport,Matamoros,Mexico
MZT,MMMZ,23.1625,-106.274,General Rafael Buelna International Airport,Mazatlán,Mexico
MID,MMMD,20.9361,-89.6575,Lic M Crecencio Rejon International Airport,Mérida,Mexico
MXL,MMML,32.6308,-115.242,Gen Rodolfo Sanchez T International Airport,Mexicali,Mexico
MEX,MMMX,19.4344,-99.0742,Lic Benito Juarez International Airport,Mexico City,Mexico
MTT,MMMT,18.0833,-94.5961,Minatitlan Airport,Minatitlan,Mexico
NLD,MMNL,27.4422,-99.5686,Quetzalcoatl International Airport,Nuevo Laredo,Mexico
ZCL,MMZC,22.8972,-102.685,Zacatecas Airport,Pánuco,Mexico
MTY,MMMY,25.7783,-100.107,Gen Mariano Escobedo International Airport,Pesquería,Mexico
ZIH,MMZH,17.6025,-101.458,Ixtapa Zihuatanejo International Airport,Petatlán,Mexico
PDS,MMPG,28.7,-100.55,Piedras Negras International Airport,Piedras Negras,Mexico
PVR,MMPR,20.6819,-105.248,Lic Gustavo Diaz Ordaz International Airport,Puerto Vallarta,Mexico
REX,MMRX,26.0133,-98.2319,Reynosa International Airport,Reynosa,Mexico
SJD,MMSD,23.1564,-109.723,Los Cabos International Airport,S. Jose del Cabo,Mexico
SCX,KSCX,16.2104,-95.1989,Salina Cruz,Salina Cruz,Mexico
OAX,MMOX,16.9986,-96.7264,Xoxocotlan Airport,San Bernardo Mixtepec,Mexico
TGZ,MMTG,16.7683,-93.3422,Tuxtla Gutierrez Airport,San Fernando,Mexico
CZM,MMCZ,20.5242,-86.9264,Cozumel International Airport,San Miguel de Cozumel,Mexico
PXM,MMPS,15.8725,-97.0861,Puerto Escondido Airport,San Pedro Juchatengo,Mexico
BJX,MMLO,20.9903,-101.478,Silao Airport,Silao,Mexico
TAM,MMTM,22.2881,-97.8633,Gen Francisco J Mina International Airport,Tampico,Mexico
TAP,MMTP,14.7931,-92.37,Tapachula International Airport,Tapachula,Mexico
VER,KVER,19.145,-96.1878,General Heriberto Jara International Airport,Teocelo,Mexico
TPQ,MMEP,21.4758,-104.881,Tepic Airport,Tepic,Mexico
TIJ,MMTJ,32.5411,-116.972,General Abelardo L Rodriguez International Airpo,Tijuana,Mexico
GDL,MMGL,20.5347,-103.322,Don Miguel Hidalgo International Airport,Tlajomulco de Zúñiga,Mexico
PBC,MMPB,19.1433,-98.3714,Puebla Airport,Tlaltenango,Mexico
TLC,MMTO,19.3356,-99.565,Jose Maria Morelos Y Pavon Airport,Toluca de Lerdo,Mexico
TRC,MMTC,25.5683,-103.411,Torreon International Airport,Torreón,Mexico
VSA,MMVA,17.9958,-92.8189,Villahermosa Airport,Villahermosa,Mexico
KIV,LUKK,46.9296,28.9389,Kishinev Southeast Airport,Chisinau,Moldova
COQ,KCOQ,48.1366,114.65,Choybalsan Northeast Airport,Choibalsan,Mongolia
DLZ,KDLZ,43.9667,104.683,Dalanzadgad,Dalanzadgad,Mongolia
ULN,ZMUB,47.8458,106.759,Ulaanbaatar Southwest Airport,Ulan Bator,Mongolia
TGD,LYPG,42.3675,19.275,Titograd Airport,Podgorica,Montenegro
TIV,LYTV,42.4047,18.7233,Tivat Airport,Teodo,Montenegro
AGA,GMAD,30.3833,-9.55,Almassira Airport,Agadir,Morocco
AHU,GMTA,35.1781,-3.8383,Cote du Rif Airport,Al Hoceima,Morocco
CMN,GMMN,33.365,-7.5817,Mohamed V Airport,Casablanca,Morocco
RAK,GMMX,31.6167,-8.05,Menara Airport,Marrakesh,Morocco
OUD,GMFO,34.7903,-1.925,Angads Airport,Oujda,Morocco
RBA,GMME,34.0475,-6.7578,Sale Airport,Rabat,Morocco
TTA,KTTA,28.4294,-11.098,Tan-Tan,Tan Tan,Morocco
TNG,GMTT,35.7283,-5.9175,Boukhalf Airport,Tangiers,Morocco
BEW,FQBR,-19.7958,34.9089,Beira Airport,Beira,Mozambique
VXC,FQLC,-13.2761,35.2533,Lichinga Airport,Lichinga,Mozambique
APL,FQNP,-15.1,39.2814,Nampula Airport,Nampula,Mozambique
TVY,KTVY,14.1017,98.2067,,Dawe,Myanmar
RGN,VYYY,16.9064,96.1389,Mingaladon Airport,Insein,Myanmar
YST,CYST,20.9417,95.9181,Shante Airport,Meiktila,Myanmar
AKY,VYSW,20.1303,92.8803,Sittwe Airport,Sittwe,Myanmar
LUD,KLUD,-26.6839,15.245,Luderitz Airport,Luderitz,Namibia
ERS,FYWE,-22.6125,17.0819,Eros Airport,Windhoek,Namibia
WDH,FYWH,-22.4792,17.4722,Windhoek Airport,,Namibia
INU,ANYN,-0.54855,166.921,Nauru International Airport,Yaren,Nauru
BWA,VNBW,27.5042,83.42,Bhairawa Airport,Bhairawa,Nepal
MEY,KMEY,40.1494,-91.5043,,Meghauli,Nepal
GRQ,EHGG,53.1273,6.58249,Groningen Eelde,Eelde,Netherlands
EIN,EHEH,51.4463,5.39212,Eindhoven Airport,Eindhoven,Netherlands
ENS,EHTW,52.2678,6.89152,Enschede Twente,Enschede,Netherlands
MST,EHBK,50.9157,5.76967,Maastricht Airport,Maastricht-Airport,Netherlands
RTM,EHRD,51.9525,4.4392,Rotterdam Airport,Rotterdam,Netherlands
AMS,EHAM,52.3122,4.77511,Schiphol Airport,Schiphol Zuid,Netherlands
CUR,TNCC,12.188,-68.9634,Hato Airport,Curacao,Netherlands Antilles
BON,TNCB,12.1392,-68.2697,Flamingo Airport,Kralendijk,Netherlands Antilles
SXM,TNCM,18.0421,-63.1107,Prinses Juliana International Airport,,Netherlands Antilles
NOU,NWWW,-22.0258,166.21,La Tontouta Airport,,New Caledonia
BHE,NZWB,-41.52,173.87,Woodbourne Airport,Blenheim,New Zealand
CHT,KCHT,-37.9723,174.566,Karewa,Chatham Island,New Zealand
CHC,NZCH,-43.4859,172.534,Christchurch International Airport,Christchurch,New Zealand
GIS,NZGS,-38.66,177.978,Gisborne Airport,Gisborne,New Zealand
HLZ,NZHN,-37.8632,175.328,Hamilton Airport,Hamilton,New Zealand
HKK,NZHK,-42.7141,170.989,Hokitika Airport,Hokitika,New Zealand
IVC,NZNV,-46.4124,168.309,Invercargill Airport,Invercargill,New Zealand
KAT,NZKT,-35.0714,173.277,Kaitaia Aerodrome,Kaitaia,New Zealand
KKE,NZKK,-35.2584,173.908,Bay of Islands Airport,Kerikeri,New Zealand
AKL,NZAA,-37.0085,174.782,Auckland International Airport,Manukau City,New Zealand
NPE,NZNR,-39.4689,176.867,Hawkes Bay Airport,Napier,New Zealand
NSN,NZNS,-41.2961,173.22,Nelson Airport,Nelson,New Zealand
NPL,NZNP,-39.0067,174.171,New Plymouth Airport,New Plymouth,New Zealand
OAM,NZOU,-44.9679,171.086,Oamaru Airport,Oamaru,New Zealand
DUD,NZDN,-45.9287,170.199,Dunedin Airport,Outram,New Zealand
PMR,NZPM,-40.3227,175.611,Palmerston North Airport,Palmerston North,New Zealand
ZQN,NZQN,-45.0217,168.737,Frankton Airport,Queenstown,New Zealand
ROT,NZRO,-38.1047,176.314,Rotorua Airport,Rotorua,New Zealand
TUO,NZAP,-38.7383,176.088,Taupo Aerodrome,Taupo,New Zealand
TRG,NZTG,-37.6738,176.19,Tauranga Airport,Tauranga,New Zealand
TIU,NZTU,-44.3015,171.223,Richard Pearse Airport,Timaru,New Zealand
WKA,NZWF,-44.725,169.243,Wanaka Airport,Wanaka,New Zealand
WAG,NZWU,-39.9635,175.029,Wanganui Airport,Wanganui,New Zealand
WLG,NZWN,-41.3295,174.806,Wellington International Airport,Wellington,New Zealand
WSZ,NZWS,-41.7383,171.58,Westport Airport,Westport,New Zealand
WHK,NZWK,-37.9213,176.919,Whakatane Airport,Whakatane,New Zealand
WRE,NZWR,-35.7705,174.36,Whangarei Airport,Whangarei,New Zealand
MGA,MNMG,12.1411,-86.1686,Augusto Cesar Sandino International Airport,Tipitapa,Nicaragua
NIM,DRRN,13.4817,2.1703,Niamey Airport,Niamey,Niger
ABV,DNAA,9.0056,7.2661,Abuja International Airport,Gwagwa,Nigeria
LOS,DNMM,6.575,3.3222,Lagos Murtala Muhammed Airport,Ikeja,Nigeria
QOW,DNIM,5.49341,7.0261,Owerri,Owerri,Nigeria
PHG,KPHG,4.85,7.01667,Port Harcourt City,Port Harcourt,Nigeria
PHC,DNPO,5.0125,6.9625,Port Harcourt International Airport,Port Harcourt,Nigeria
IUE,NIUE,-19.0787,-169.926,Niue,Niue Island,Niue
NLK,YNSF,-29.0363,168.032,Norfolk Island Airport,Kingston,Norfolk Island
FNJ,ZKPY,39.1437,125.695,Sunan Airport,Sunan,North Korea
ALF,ENAT,69.9793,23.3571,Alta Airport,Alta,Norway
ANX,ENAN,69.3088,16.1236,Andoya Airport,Andenes,Norway
HAU,ENHD,59.3436,5.21246,Haugesund Karmoy Airport,Avaldsnes,Norway
BJF,ENBS,70.6031,29.6948,Batsfjord Airport,Baasfjord,Norway
BDU,ENDU,69.0589,18.539,Bardufoss Airport,Bardufoss,Norway
BGO,ENBR,60.2907,5.22065,Bergen Flesland Airport,Blomsterdalen,Norway
BOO,ENBO,67.2709,14.3653,Bodo Airport,Bodo,Norway
MOL,ENML,62.7466,7.26397,Aro Airport,Bolsøya,Norway
BNN,ENBN,65.462,12.2161,Bronnoy Airport,Bronnoysund,Norway
FDE,ENBL,61.392,5.7615,Bringeland Airport,Bygstad,Norway
FRO,ENFL,61.5863,5.02484,Flora Airport,Floro,Norway
OSL,ENGM,60.1947,11.1005,Oslo Gardermoen Airport,Gardermoen,Norway
HFT,ENHF,70.6808,23.676,Hammerfest Airport,Hammerfest,Norway
KKN,ENKR,69.726,29.8958,Kirkenes Hoybuktmoen Airport,Hesseng,Norway
HVG,ENHV,71.0099,25.9767,Valan Airport,Honningsvåg,Norway
HOV,ENOV,62.1804,6.07624,Hovden Airport,Hovdebygda,Norway
KRS,ENCN,58.1988,8.07792,Kristiansand Airport,Kjevic,Norway
KSU,ENKB,63.1137,7.82585,Kristiansund Kvernberget Airport,Kristiansund Nord,Norway
LKL,ENNA,70.0661,24.975,Banak Airport,Lakeselv,Norway
LYR,ENSB,78.1917,15.9,Svalbard Longyear Airport,Longyearbyen,Norway
NVK,ENNK,68.4431,17.3941,Framnes Airport,Narvik,Norway
SVG,ENZV,58.8806,5.63019,Stavanger Sola Airport,Rage,Norway
RRS,ENRO,62.5792,11.3458,Roeros Airport,Roros,Norway
RYG,ENRY,59.3789,10.7856,Moss Airport,Rygge,Norway
TRF,ENTO,59.182,10.2509,Torp Airport,Sandefjord,Norway
SDN,ENSD,61.8296,6.10628,Sandane Airport,Sandene,Norway
SKE,ENSN,59.1844,9.56938,Geiterygen Airport,Skien,Norway
SRP,ENSA,59.7928,5.33972,Sorstukken Airport,Skjold,Norway
TRD,ENVA,63.4578,10.9229,Trondheim Vaernes Airport,Stjordal,Norway
SKN,ENSK,68.5802,15.0325,Stokmarknes Airport,Stokkmarknes,Norway
EVE,ENEV,68.489,16.6806,Evenes Airport,Tarnstad,Norway
TOS,ENTC,69.6787,18.9096,Tromso Langnes Airport,Tromso,Norway
VDS,ENVD,70.0653,29.8416,Vadso Airport,Vadso,Norway
AES,ENAL,62.5607,6.11129,Vigra Airport,Vigra,Norway
MCT,OOMS,23.5917,58.2792,Seeb International Airport,Muscat,Oman
BHV,OPBW,29.3444,71.7125,Bahawalpur Airport,Bahawalpur,Pakistan
KHI,OPKC,24.8984,67.1518,Karachi Civil Airport,Karachi,Pakistan
LHE,OPLA,31.521,74.3933,Lahore Airport,Lahore,Pakistan
MJD,KMJD,27.3364,68.1417,Moenjodaro Airport,Mohenjodaro,Pakistan
PJG,OPPG,26.9547,64.1331,Panjgur Airport,Panjgur,Pakistan
PEW,OPPS,33.9933,71.515,Peshawar Airport,Peshawar,Pakistan
ISB,KISB,33.6147,73.0967,Islamabad International Airport,Råwalpindi,Pakistan
ROR,PTRO,7.35743,134.547,Koror Airport,Koror,Palau
PTY,MPTO,9.07,-79.3836,Tocumen International Airport,Tocumen,Panama
BUA,AYBK,-5.42232,154.673,Buka,Buka,Papua New Guinea
PNP,PAPN,-8.8056,148.309,Girua Airport,Popondetta,Papua New Guinea
POM,AYPY,-9.4425,147.219,Port Moresby International Airport,Port Moresby,Papua New Guinea
ASU,SGAS,-25.2397,-57.5189,Silvio Pettirossi International Airport,Colonia Mariano Roque Alonso,Paraguay
AGT,SGES,-25.5266,-54.6226,Alejo Garcia Airport,Presidente Franco,Paraguay
AQP,SPQU,-16.3372,-71.5692,Rodriguez Ballon Airport,Arequipa,Peru
PCL,SPCL,-8.3753,-74.5731,Pucallpa Airport,Callaria,Peru
CIX,SPHI,-6.7897,-79.8322,Cap J A Quinones Gonzales Airport,Chiclayo,Peru
TRU,SPRU,-8.09,-79.115,Cap C Martinez de Pinillos Airport,Huanchaco,Peru
IQT,SPQT,-3.7856,-73.3103,Cnl Fap Fran Seca Vignetta Airport,Iquitos,Peru
JUL,SPJL,-15.4642,-70.1544,Juliaca Airport,Juliaca,Peru
PIU,SPUR,-5.2022,-80.6142,Capitan Concha Airport,Piura,Peru
PEM,SPTU,-12.6128,-69.2297,Padre Aldamiz Airport,Puerto Maldonado,Peru
CUZ,SPZO,-13.5308,-71.9472,Velazco Astete Airport,San Sebastián,Peru
LIM,SPIM,-12.0228,-77.1081,Jorge Chavez Airport,Ventanilla,Peru
BCD,RPVB,10.6444,122.929,Bacolod Airport,Bacolod City,Philippines
BAG,RPUB,16.3764,120.619,Baguio Airport,Baguio City,Philippines
BXU,RPME,8.9528,125.476,Butuan Airport,Buenavista,Philippines
CEB,RPVM,10.3596,123.837,Lahug Airport,Cebu,Philippines
DVO,KDVO,7.1292,125.647,Francisco Bangoy International Airport,Davao City,Philippines
CRK,RPLC,15.1806,120.557,Clark Field Airport,Mabalacat,Philippines
MBT,KMBT,12.3703,123.628,Masbate Airport,Masbate,Philippines
MNL,RPLL,14.5114,121.016,Ninoy Aquino International Airport,Parañaque,Philippines
DPL,RPMG,8.6043,123.348,Dipolog Airport,Polanco,Philippines
PPS,RPVP,9.7433,118.756,Puerto Princesa International Airport,Puerto Princesa,Philippines
DGT,RPVD,9.3358,123.301,Dumaguete Airport,Sibulan,Philippines
IEG,EPZG,52.1282,15.7975,Babimost Airport,Babimost,Poland
BZG,EPBD,53.0918,17.9821,Szwederowo Airport,Białe Błota,Poland
GDN,EPGD,54.3821,18.454,Rebiechowo Airport,Gdansk,Poland
LCJ,EPLL,51.7217,19.3989,Lodz Lublinek,Lodz,Poland
KTW,EPKT,50.4819,19.0772,Zendek Airport,Ożarowice,Poland
POZ,EPPO,52.4284,16.8208,Lawica Airport,Poznan,Poland
RZE,EPRZ,50.1062,22.0243,Jasionka Airport,Trzebownisko,Poland
WAW,EPWA,52.17,20.9725,Okecie International Airport,Warsaw,Poland
WRO,EPWR,51.1039,16.8985,Strachowice Airport,Wroclaw,Poland
KRK,EPKK,50.0741,19.8011,Balice Airport,Zabierzów,Poland
